week,Zip,crossover,svi_label,condition,n_assigned_automated,n_assigned_manual,mean_perc_filled_assigned_automated,mean_perc_filled_assigned_manual,mean_has_race_ethnicity_assigned_automated,mean_has_race_ethnicity_assigned_manual,mean_has_employer_assigned_automated,mean_has_employer_assigned_manual,mean_has_gender_assigned_automated,mean_has_gender_assigned_manual,mean_has_sexual_orientation_assigned_automated,mean_has_sexual_orientation_assigned_manual,mean_has_language_assigned_automated,mean_has_language_assigned_manual,mean_has_signs_or_symptons_assigned_automated,mean_has_signs_or_symptons_assigned_manual,mean_has_travel_assigned_automated,mean_has_travel_assigned_manual,mean_has_attended_gathering_assigned_automated,mean_has_attended_gathering_assigned_manual,mean_has_able_to_self_isolate_assigned_automated,mean_has_able_to_self_isolate_assigned_manual,mean_has_num_contacts_generated_assigned_automated,mean_has_num_contacts_generated_assigned_manual,mean_has_congregate_setting_assigned_automated,mean_has_congregate_setting_assigned_manual
2021-12-13,95125,4,"[50,80) SVI",Manual CICT,0,9,NA,0.7878787878787878,NA,0.8888888888888888,NA,0.4444444444444444,NA,1,NA,0.6666666666666666,NA,0.7777777777777778,NA,0.7777777777777778,NA,0.8888888888888888,NA,0.8888888888888888,NA,0.8888888888888888,NA,0.8888888888888888,NA,0.5555555555555556
2021-12-13,95126,2,"[50,80) SVI",Manual CICT,2,21,0.5,0.6926406926406926,0.5,0.8571428571428571,0.5,0.23809523809523808,1,1,0.5,0.5714285714285714,0.5,0.7142857142857143,0.5,0.7619047619047619,0.5,0.7142857142857143,0.5,0.6666666666666666,0.5,0.7619047619047619,0.5,0.7142857142857143,0,0.6190476190476191
2021-12-13,95127,5,"[80,100] SVI",Manual CICT,1,13,0.6363636363636364,0.6293706293706294,1,0.9230769230769231,0,0.15384615384615385,1,1,0,0.38461538461538464,0,0.6153846153846154,1,0.6923076923076923,1,0.6153846153846154,1,0.6153846153846154,1,0.7692307692307693,1,0.6923076923076923,0,0.46153846153846156
2021-12-13,95128,5,"[80,100] SVI",Manual CICT,2,10,0.13636363636363635,0.7272727272727273,0.5,0.9,0,0.4,1,1,0,0.5,0,0.6,0,0.8,0,0.8,0,0.8,0,0.8,0,0.8,0,0.6
2021-12-13,95131,4,"[50,80) SVI",Manual CICT,0,5,NA,0.23636363636363636,NA,0.8,NA,0,NA,1,NA,0,NA,0,NA,0.2,NA,0.2,NA,0,NA,0.2,NA,0.2,NA,0
2021-12-13,95132,3,"[50,80) SVI",Manual CICT,2,3,0.40909090909090906,0.5454545454545454,1,0.6666666666666666,0,0.6666666666666666,1,1,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0,0,0.3333333333333333,0.5,0.6666666666666666,0,0.3333333333333333,0.5,0.6666666666666666,0,0.6666666666666666
2021-12-13,95133,4,"[80,100] SVI",Manual CICT,0,11,NA,0.7933884297520661,NA,0.9090909090909091,NA,0.36363636363636365,NA,1,NA,0.5454545454545454,NA,0.9090909090909091,NA,0.8181818181818182,NA,0.8181818181818182,NA,0.8181818181818182,NA,0.9090909090909091,NA,0.8181818181818182,NA,0.8181818181818182
2021-12-13,95136,2,"[50,80) SVI",Manual CICT,13,3,0.4755244755244755,0.3939393939393939,0.7692307692307693,0.6666666666666666,0.23076923076923078,0,1,1,0.46153846153846156,0.3333333333333333,0.5384615384615384,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.46153846153846156,0.3333333333333333,0.46153846153846156,0.3333333333333333,0.46153846153846156,0.3333333333333333,0.46153846153846156,0.3333333333333333,0.07692307692307693,0.3333333333333333
2021-12-13,95148,4,"[50,80) SVI",Manual CICT,0,10,NA,0.7181818181818181,NA,1,NA,0.1,NA,1,NA,0.6,NA,0.9,NA,0.8,NA,0.6,NA,0.8,NA,0.7,NA,0.8,NA,0.6
2021-12-20,94040,4,"[50,80) SVI",Manual CICT,31,38,0.34017595307917886,0.7248803827751196,0.6129032258064516,0.9210526315789473,0.03225806451612903,0.3157894736842105,0.9354838709677419,1,0.12903225806451613,0.42105263157894735,0.16129032258064516,0.7894736842105263,0.41935483870967744,0.7894736842105263,0.3870967741935484,0.7368421052631579,0.2903225806451613,0.7631578947368421,0.3870967741935484,0.7894736842105263,0.3225806451612903,0.7894736842105263,0.06451612903225806,0.6578947368421053
2021-12-20,94041,2,"[50,80) SVI",Manual CICT,14,13,0.4805194805194805,0.8671328671328671,0.7857142857142857,0.9230769230769231,0,0.38461538461538464,1,1,0.14285714285714285,0.6923076923076923,0.14285714285714285,0.9230769230769231,0.5714285714285714,1,0.7142857142857143,0.7692307692307693,0.5714285714285714,1,0.7142857142857143,1,0.6428571428571429,1,0,0.8461538461538461
2021-12-20,94085,2,"[50,80) SVI",Manual CICT,29,19,0.36363636363636365,0.8038277511961722,0.7586206896551724,1,0.06896551724137931,0.47368421052631576,0.9655172413793104,1,0.10344827586206896,0.631578947368421,0.13793103448275862,0.8421052631578947,0.3793103448275862,0.7368421052631579,0.4482758620689655,0.8947368421052632,0.3103448275862069,0.8421052631578947,0.4482758620689655,0.8947368421052632,0.3448275862068966,0.8947368421052632,0.034482758620689655,0.631578947368421
2021-12-20,94086,2,"[50,80) SVI",Manual CICT,49,40,0.47866419294990725,0.6795454545454546,0.7755102040816326,0.85,0.04081632653061224,0.225,1,1,0.20408163265306123,0.3,0.2857142857142857,0.775,0.5714285714285714,0.775,0.6530612244897959,0.625,0.5102040816326531,0.675,0.6530612244897959,0.775,0.5102040816326531,0.825,0.061224489795918366,0.65
2021-12-20,94089,4,"[50,80) SVI",Manual CICT,29,21,0.4106583072100313,0.6320346320346321,0.8275862068965517,0.8571428571428571,0.034482758620689655,0.19047619047619047,1,1,0.1724137931034483,0.38095238095238093,0.20689655172413793,0.6666666666666666,0.4827586206896552,0.5714285714285714,0.5517241379310345,0.6666666666666666,0.3103448275862069,0.6666666666666666,0.5517241379310345,0.7619047619047619,0.3793103448275862,0.7142857142857143,0,0.47619047619047616
